DTM SUDAN: IDP Master List 25-04-2024,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
LOCATION INFORMATION,,TOTAL,,STATE of ORIGIN BY INDIVIUALS,,,,,,,,,,,,NATIONALITY BY INDIVIUALS,
STATE OF DISPLACEMET,STATE CODE,IDPs,HHs,Aj Jazirah,Central Darfur,East Darfur,Khartoum,North Darfur,North Kordofan,Sennar,South Darfur,South Kordofan,West Darfur,West Kordofan,White Nile,  SUDANESE  , NON SUDANESE
#adm1+name,#adm1+pcode,#affected+idps+ind,#affected+idps+hh,,,,,,,,,,,,,,
 Aj Jazirah , SD15 ," 371,177 "," 73,323 "," 170,306 ", -   , -   ," 196,909 ", -   , -   , 120 , -   , -   , -   , -   ," 3,842 "," 371,177 ", -   
 Blue Nile , SD08 ," 147,736 "," 29,836 "," 24,110 ", -   , -   ," 121,076 ", 5 , 35 ," 1,235 ", 175 ," 1,030 ", -   , -   , 70 ," 147,241 ", 495 
 Central Darfur , SD06 ," 430,224 "," 86,044 ", -   ," 271,785 ", -   ," 2,755 "," 74,679 ", -   , -   ," 19,355 ", -   ," 61,650 ", -   , -   ," 430,224 ", -   
 East Darfur , SD05 ," 660,140 "," 131,918 ", 400 , -   ," 73,510 "," 360,240 "," 15,430 "," 4,420 ", -   ," 204,455 ", -   , -   ," 1,685 ", -   ," 660,140 ", -   
 Gedaref , SD12 ," 492,293 "," 97,817 "," 148,688 ", -   , -   ," 341,403 "," 1,557 ", 350 , -   , 295 , -   , -   , -   , -   ," 484,758 "," 7,535 "
 Kassala , SD11 ," 200,083 "," 40,282 "," 53,650 ", -   , -   ," 146,433 ", -   , -   , -   , -   , -   , -   , -   , -   ," 196,213 "," 3,870 "
 Khartoum , SD01 ," 69,057 "," 13,717 "," 1,425 ", -   , -   ," 67,632 ", -   , -   , -   , -   , -   , -   , -   , -   ," 68,822 ", 235 
 North Darfur , SD02 ," 573,055 "," 114,503 ", 65 ," 7,940 ", 208 ," 8,900 "," 498,614 ", 425 , -   ," 43,793 ", -   ," 12,945 ", 165 , -   ," 572,938 ", 117 
 North Kordofan , SD13 ," 174,007 "," 34,261 "," 1,673 ", -   , -   ," 122,472 ", -   ," 44,564 ", 235 , -   ," 4,573 ", -   , 365 , 125 ," 173,679 ", 328 
 Northern , SD17 ," 399,867 "," 80,305 "," 11,306 ", -   , -   ," 387,714 ", -   , -   , 623 , -   , 124 , -   , -   , 100 ," 399,136 ", 731 
 Red Sea , SD10 ," 247,874 "," 49,953 "," 65,562 ", 139 , -   ," 160,987 "," 5,261 "," 5,535 "," 2,364 "," 3,448 "," 3,302 ", 381 , -   , 895 ," 232,588 "," 15,286 "
 River Nile , SD16 ," 698,334 "," 137,799 "," 17,524 ", 115 , 90 ," 680,268 ", 187 , 45 , -   , 50 , 30 , 25 , -   , -   ," 698,106 ", 228 
 Sennar , SD14 ," 523,986 "," 104,002 "," 135,340 ", -   , -   ," 347,927 ", -   , -   ," 40,719 ", -   , -   , -   , -   , -   ," 523,986 ", -   
 South Darfur , SD03 ," 744,243 "," 148,848 ", -   ," 9,365 ", -   ," 16,650 "," 12,985 ", -   , -   ," 700,643 ", -   ," 4,600 ", -   , -   ," 744,243 ", -   
 South Kordofan , SD07 ," 198,839 "," 39,492 "," 2,753 ", -   , -   ," 65,069 ", -   ," 5,915 ", 165 , -   ," 124,758 ", -   , 30 , 149 ," 198,097 ", 742 
 West Darfur , SD04 ," 174,540 "," 34,908 ", -   ," 3,570 "," 1,885 "," 3,544 ", 821 , -   , -   ," 8,605 ", -   ," 156,115 ", -   , -   ," 174,540 ", -   
 West Kordofan , SD18 ," 148,718 "," 29,340 ", -   , -   , 5 ," 61,527 ", 845 ," 10,599 ", -   , 250 ," 6,773 ", -   ," 68,719 ", -   ," 148,718 ", -   
 White Nile , SD09 ," 532,643 "," 105,920 "," 48,459 ", -   , -   ," 476,547 ", -   , 269 , 55 , -   , -   , -   , -   ," 7,313 "," 442,949 "," 89,694 "
 Grand Total ,," 6,786,816 "," 1,352,268 "," 681,261 "," 292,914 "," 75,698 "," 3,568,053 "," 610,384 "," 72,157 "," 45,516 "," 981,069 "," 140,590 "," 235,716 "," 70,964 "," 12,494 "," 6,667,555 "," 119,261 "
